px,item,order,lifetime,tense,congruence,tt,gaze,rpd,region,region_num,rating,condition,rt_value,bio,critical,rating_px
1,9,10,living,Present Perfect,Congruent,NA,NA,NA,verb-1,1,6,livingPP,3762,Bruce Willis is an American actor. He lives in New York.,"He *has performed* in critically acclaimed* action pictures *in the past*, supposedly.",3
1,9,10,living,Present Perfect,Congruent,1181,456,456,verb,2,6,livingPP,3762,Bruce Willis is an American actor. He lives in New York.,"He *has performed* in critically acclaimed* action pictures *in the past*, supposedly.",3
1,9,10,living,Present Perfect,Congruent,789,198,720,verb+1,3,6,livingPP,3762,Bruce Willis is an American actor. He lives in New York.,"He *has performed* in critically acclaimed* action pictures *in the past*, supposedly.",3
1,9,10,living,Present Perfect,Congruent,316,316,316,verb+2,4,6,livingPP,3762,Bruce Willis is an American actor. He lives in New York.,"He *has performed* in critically acclaimed* action pictures *in the past*, supposedly.",3
1,9,10,living,Present Perfect,Congruent,313,313,313,verb+3,5,6,livingPP,3762,Bruce Willis is an American actor. He lives in New York.,"He *has performed* in critically acclaimed* action pictures *in the past*, supposedly.",3
1,9,10,living,Present Perfect,Congruent,368,368,1162,verb+4,6,6,livingPP,3762,Bruce Willis is an American actor. He lives in New York.,"He *has performed* in critically acclaimed* action pictures *in the past*, supposedly.",3
1,9,10,living,Present Perfect,Congruent,NA,NA,NA,end,7,6,livingPP,3762,Bruce Willis is an American actor. He lives in New York.,"He *has performed* in critically acclaimed* action pictures *in the past*, supposedly.",3
1,69,13,living,Present Perfect,Congruent,NA,NA,NA,verb-1,1,6,livingPP,2998,Margaret Atwood is a Canadian author. She lives in Toronto.,"She *has written* well-known* literary works *in the past*, apparently.",3
1,69,13,living,Present Perfect,Congruent,784,262,262,verb,2,6,livingPP,2998,Margaret Atwood is a Canadian author. She lives in Toronto.,"She *has written* well-known* literary works *in the past*, apparently.",3
1,69,13,living,Present Perfect,Congruent,322,142,295,verb+1,3,6,livingPP,2998,Margaret Atwood is a Canadian author. She lives in Toronto.,"She *has written* well-known* literary works *in the past*, apparently.",3
1,69,13,living,Present Perfect,Congruent,568,277,277,verb+2,4,6,livingPP,2998,Margaret Atwood is a Canadian author. She lives in Toronto.,"She *has written* well-known* literary works *in the past*, apparently.",3
1,69,13,living,Present Perfect,Congruent,180,180,1020,verb+3,5,6,livingPP,2998,Margaret Atwood is a Canadian author. She lives in Toronto.,"She *has written* well-known* literary works *in the past*, apparently.",3
1,69,13,living,Present Perfect,Congruent,471,471,471,verb+4,6,6,livingPP,2998,Margaret Atwood is a Canadian author. She lives in Toronto.,"She *has written* well-known* literary works *in the past*, apparently.",3
1,69,13,living,Present Perfect,Congruent,NA,NA,NA,end,7,6,livingPP,2998,Margaret Atwood is a Canadian author. She lives in Toronto.,"She *has written* well-known* literary works *in the past*, apparently.",3
1,1,16,living,Present Perfect,Congruent,NA,NA,NA,verb-1,1,5,livingPP,2128,Eddie Redmayne is a British actor. He lives in London.,"He *has appeared* in numerous* blockbusters *in the past*, supposedly.",3
1,1,16,living,Present Perfect,Congruent,417,206,206,verb,2,5,livingPP,2128,Eddie Redmayne is a British actor. He lives in London.,"He *has appeared* in numerous* blockbusters *in the past*, supposedly.",3
1,1,16,living,Present Perfect,Congruent,557,162,458,verb+1,3,5,livingPP,2128,Eddie Redmayne is a British actor. He lives in London.,"He *has appeared* in numerous* blockbusters *in the past*, supposedly.",3
1,1,16,living,Present Perfect,Congruent,201,201,201,verb+2,4,5,livingPP,2128,Eddie Redmayne is a British actor. He lives in London.,"He *has appeared* in numerous* blockbusters *in the past*, supposedly.",3
1,1,16,living,Present Perfect,Congruent,338,338,338,verb+3,5,5,livingPP,2128,Eddie Redmayne is a British actor. He lives in London.,"He *has appeared* in numerous* blockbusters *in the past*, supposedly.",3
1,1,16,living,Present Perfect,Congruent,251,251,561,verb+4,6,5,livingPP,2128,Eddie Redmayne is a British actor. He lives in London.,"He *has appeared* in numerous* blockbusters *in the past*, supposedly.",3
1,1,16,living,Present Perfect,Congruent,NA,NA,NA,end,7,5,livingPP,2128,Eddie Redmayne is a British actor. He lives in London.,"He *has appeared* in numerous* blockbusters *in the past*, supposedly.",3
1,76,18,dead,Simple Future,Incongruent,132,132,132,verb-1,1,1,deadSF,1609,Winston Churchill was a British politician. He died in London.,"He *will work* with important* world leaders *in the future*, apparently.",3
1,76,18,dead,Simple Future,Incongruent,282,282,282,verb,2,1,deadSF,1609,Winston Churchill was a British politician. He died in London.,"He *will work* with important* world leaders *in the future*, apparently.",3
1,76,18,dead,Simple Future,Incongruent,368,368,368,verb+1,3,1,deadSF,1609,Winston Churchill was a British politician. He died in London.,"He *will work* with important* world leaders *in the future*, apparently.",3
1,76,18,dead,Simple Future,Incongruent,243,243,243,verb+2,4,1,deadSF,1609,Winston Churchill was a British politician. He died in London.,"He *will work* with important* world leaders *in the future*, apparently.",3
1,76,18,dead,Simple Future,Incongruent,242,242,242,verb+3,5,1,deadSF,1609,Winston Churchill was a British politician. He died in London.,"He *will work* with important* world leaders *in the future*, apparently.",3
1,76,18,dead,Simple Future,Incongruent,115,115,115,verb+4,6,1,deadSF,1609,Winston Churchill was a British politician. He died in London.,"He *will work* with important* world leaders *in the future*, apparently.",3
1,76,18,dead,Simple Future,Incongruent,NA,NA,NA,end,7,1,deadSF,1609,Winston Churchill was a British politician. He died in London.,"He *will work* with important* world leaders *in the future*, apparently.",3
1,23,21,living,Simple Future,Congruent,NA,NA,NA,verb-1,1,7,livingSF,3015,Janet Jackson is an American singer. She lives in Los Angeles.,"She *will play* in numerous* packed arenas *in the future*, so it's said.",3
1,23,21,living,Simple Future,Congruent,500,283,283,verb,2,7,livingSF,3015,Janet Jackson is an American singer. She lives in Los Angeles.,"She *will play* in numerous* packed arenas *in the future*, so it's said.",3
1,23,21,living,Simple Future,Congruent,615,284,284,verb+1,3,7,livingSF,3015,Janet Jackson is an American singer. She lives in Los Angeles.,"She *will play* in numerous* packed arenas *in the future*, so it's said.",3
1,23,21,living,Simple Future,Congruent,346,346,346,verb+2,4,7,livingSF,3015,Janet Jackson is an American singer. She lives in Los Angeles.,"She *will play* in numerous* packed arenas *in the future*, so it's said.",3
1,23,21,living,Simple Future,Congruent,290,141,141,verb+3,5,7,livingSF,3015,Janet Jackson is an American singer. She lives in Los Angeles.,"She *will play* in numerous* packed arenas *in the future*, so it's said.",3
1,23,21,living,Simple Future,Congruent,717,717,1414,verb+4,6,7,livingSF,3015,Janet Jackson is an American singer. She lives in Los Angeles.,"She *will play* in numerous* packed arenas *in the future*, so it's said.",3
1,23,21,living,Simple Future,Congruent,NA,NA,NA,end,7,7,livingSF,3015,Janet Jackson is an American singer. She lives in Los Angeles.,"She *will play* in numerous* packed arenas *in the future*, so it's said.",3
1,36,23,dead,Simple Future,Incongruent,242,242,242,verb-1,1,1,deadSF,1459,Billie Holiday was an American singer. She died in New York.,"She *will release* prominent* albums *in the future*, so it's said.",3
1,36,23,dead,Simple Future,Incongruent,189,189,189,verb,2,1,deadSF,1459,Billie Holiday was an American singer. She died in New York.,"She *will release* prominent* albums *in the future*, so it's said.",3
1,36,23,dead,Simple Future,Incongruent,163,163,163,verb+1,3,1,deadSF,1459,Billie Holiday was an American singer. She died in New York.,"She *will release* prominent* albums *in the future*, so it's said.",3
1,36,23,dead,Simple Future,Incongruent,91,91,91,verb+2,4,1,deadSF,1459,Billie Holiday was an American singer. She died in New York.,"She *will release* prominent* albums *in the future*, so it's said.",3
1,36,23,dead,Simple Future,Incongruent,165,165,165,verb+3,5,1,deadSF,1459,Billie Holiday was an American singer. She died in New York.,"She *will release* prominent* albums *in the future*, so it's said.",3
1,36,23,dead,Simple Future,Incongruent,285,285,285,verb+4,6,1,deadSF,1459,Billie Holiday was an American singer. She died in New York.,"She *will release* prominent* albums *in the future*, so it's said.",3
1,36,23,dead,Simple Future,Incongruent,NA,NA,NA,end,7,1,deadSF,1459,Billie Holiday was an American singer. She died in New York.,"She *will release* prominent* albums *in the future*, so it's said.",3
1,8,26,dead,Simple Future,Incongruent,NA,NA,NA,verb-1,1,1,deadSF,1107,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He *will appear* in numerous* kung-fu movies *in the future*, supposedly.",3
1,8,26,dead,Simple Future,Incongruent,347,347,347,verb,2,1,deadSF,1107,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He *will appear* in numerous* kung-fu movies *in the future*, supposedly.",3
1,8,26,dead,Simple Future,Incongruent,184,184,184,verb+1,3,1,deadSF,1107,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He *will appear* in numerous* kung-fu movies *in the future*, supposedly.",3
1,8,26,dead,Simple Future,Incongruent,255,255,255,verb+2,4,1,deadSF,1107,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He *will appear* in numerous* kung-fu movies *in the future*, supposedly.",3
1,8,26,dead,Simple Future,Incongruent,141,141,141,verb+3,5,1,deadSF,1107,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He *will appear* in numerous* kung-fu movies *in the future*, supposedly.",3
1,8,26,dead,Simple Future,Incongruent,201,201,201,verb+4,6,1,deadSF,1107,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He *will appear* in numerous* kung-fu movies *in the future*, supposedly.",3
1,8,26,dead,Simple Future,Incongruent,NA,NA,NA,end,7,1,deadSF,1107,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He *will appear* in numerous* kung-fu movies *in the future*, supposedly.",3
1,72,29,dead,Simple Future,Incongruent,232,232,232,verb-1,1,1,deadSF,2076,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She *will write* important* scientific papers *in the future*, apparently.",3
1,72,29,dead,Simple Future,Incongruent,340,340,340,verb,2,1,deadSF,2076,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She *will write* important* scientific papers *in the future*, apparently.",3
1,72,29,dead,Simple Future,Incongruent,163,163,163,verb+1,3,1,deadSF,2076,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She *will write* important* scientific papers *in the future*, apparently.",3
1,72,29,dead,Simple Future,Incongruent,426,426,426,verb+2,4,1,deadSF,2076,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She *will write* important* scientific papers *in the future*, apparently.",3
1,72,29,dead,Simple Future,Incongruent,496,496,496,verb+3,5,1,deadSF,2076,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She *will write* important* scientific papers *in the future*, apparently.",3
1,72,29,dead,Simple Future,Incongruent,NA,NA,NA,verb+4,6,1,deadSF,2076,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She *will write* important* scientific papers *in the future*, apparently.",3
1,72,29,dead,Simple Future,Incongruent,NA,NA,NA,end,7,1,deadSF,2076,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She *will write* important* scientific papers *in the future*, apparently.",3
1,21,31,living,Present Perfect,Congruent,NA,NA,NA,verb-1,1,6,livingPP,1306,John Cleese is a British actor. He lives in London.,"He *has played* notable* roles *in the past*, so it's said.",3
1,21,31,living,Present Perfect,Congruent,364,364,364,verb,2,6,livingPP,1306,John Cleese is a British actor. He lives in London.,"He *has played* notable* roles *in the past*, so it's said.",3
1,21,31,living,Present Perfect,Congruent,154,154,154,verb+1,3,6,livingPP,1306,John Cleese is a British actor. He lives in London.,"He *has played* notable* roles *in the past*, so it's said.",3
1,21,31,living,Present Perfect,Congruent,157,157,157,verb+2,4,6,livingPP,1306,John Cleese is a British actor. He lives in London.,"He *has played* notable* roles *in the past*, so it's said.",3
1,21,31,living,Present Perfect,Congruent,NA,NA,NA,verb+3,5,6,livingPP,1306,John Cleese is a British actor. He lives in London.,"He *has played* notable* roles *in the past*, so it's said.",3
1,21,31,living,Present Perfect,Congruent,683,683,683,verb+4,6,6,livingPP,1306,John Cleese is a British actor. He lives in London.,"He *has played* notable* roles *in the past*, so it's said.",3
1,21,31,living,Present Perfect,Congruent,NA,NA,NA,end,7,6,livingPP,1306,John Cleese is a British actor. He lives in London.,"He *has played* notable* roles *in the past*, so it's said.",3
1,41,34,living,Present Perfect,Congruent,NA,NA,NA,verb-1,1,4,livingPP,2786,"Bill Gates is an American thinker. He lives in Washington, D.C.","He *has sold* critically acclaimed* computers *in the past*, no doubt.",3
1,41,34,living,Present Perfect,Congruent,495,328,328,verb,2,4,livingPP,2786,"Bill Gates is an American thinker. He lives in Washington, D.C.","He *has sold* critically acclaimed* computers *in the past*, no doubt.",3
1,41,34,living,Present Perfect,Congruent,824,198,991,verb+1,3,4,livingPP,2786,"Bill Gates is an American thinker. He lives in Washington, D.C.","He *has sold* critically acclaimed* computers *in the past*, no doubt.",3
1,41,34,living,Present Perfect,Congruent,312,312,312,verb+2,4,4,livingPP,2786,"Bill Gates is an American thinker. He lives in Washington, D.C.","He *has sold* critically acclaimed* computers *in the past*, no doubt.",3
1,41,34,living,Present Perfect,Congruent,167,167,167,verb+3,5,4,livingPP,2786,"Bill Gates is an American thinker. He lives in Washington, D.C.","He *has sold* critically acclaimed* computers *in the past*, no doubt.",3
1,41,34,living,Present Perfect,Congruent,425,425,425,verb+4,6,4,livingPP,2786,"Bill Gates is an American thinker. He lives in Washington, D.C.","He *has sold* critically acclaimed* computers *in the past*, no doubt.",3
1,41,34,living,Present Perfect,Congruent,NA,NA,NA,end,7,4,livingPP,2786,"Bill Gates is an American thinker. He lives in Washington, D.C.","He *has sold* critically acclaimed* computers *in the past*, no doubt.",3
1,56,36,dead,Simple Future,Incongruent,NA,NA,NA,verb-1,1,1,deadSF,936,Judy Garland was an American actor. She died in London.,"She *will star* in well-received* films *in the future*, no doubt.",3
1,56,36,dead,Simple Future,Incongruent,347,347,347,verb,2,1,deadSF,936,Judy Garland was an American actor. She died in London.,"She *will star* in well-received* films *in the future*, no doubt.",3
1,56,36,dead,Simple Future,Incongruent,225,225,225,verb+1,3,1,deadSF,936,Judy Garland was an American actor. She died in London.,"She *will star* in well-received* films *in the future*, no doubt.",3
1,56,36,dead,Simple Future,Incongruent,117,117,117,verb+2,4,1,deadSF,936,Judy Garland was an American actor. She died in London.,"She *will star* in well-received* films *in the future*, no doubt.",3
1,56,36,dead,Simple Future,Incongruent,113,113,113,verb+3,5,1,deadSF,936,Judy Garland was an American actor. She died in London.,"She *will star* in well-received* films *in the future*, no doubt.",3
1,56,36,dead,Simple Future,Incongruent,171,171,171,verb+4,6,1,deadSF,936,Judy Garland was an American actor. She died in London.,"She *will star* in well-received* films *in the future*, no doubt.",3
1,56,36,dead,Simple Future,Incongruent,NA,NA,NA,end,7,1,deadSF,936,Judy Garland was an American actor. She died in London.,"She *will star* in well-received* films *in the future*, no doubt.",3
1,42,39,dead,Present Perfect,Incongruent,161,161,161,verb-1,1,2,deadPP,1736,Mark Twain was an American author. He died in Connecticut.,"He *has sold* well-received* novels *in the past*, no doubt.",3
1,42,39,dead,Present Perfect,Incongruent,343,343,343,verb,2,2,deadPP,1736,Mark Twain was an American author. He died in Connecticut.,"He *has sold* well-received* novels *in the past*, no doubt.",3
1,42,39,dead,Present Perfect,Incongruent,194,194,194,verb+1,3,2,deadPP,1736,Mark Twain was an American author. He died in Connecticut.,"He *has sold* well-received* novels *in the past*, no doubt.",3
1,42,39,dead,Present Perfect,Incongruent,146,146,146,verb+2,4,2,deadPP,1736,Mark Twain was an American author. He died in Connecticut.,"He *has sold* well-received* novels *in the past*, no doubt.",3
1,42,39,dead,Present Perfect,Incongruent,322,322,322,verb+3,5,2,deadPP,1736,Mark Twain was an American author. He died in Connecticut.,"He *has sold* well-received* novels *in the past*, no doubt.",3
1,42,39,dead,Present Perfect,Incongruent,274,274,274,verb+4,6,2,deadPP,1736,Mark Twain was an American author. He died in Connecticut.,"He *has sold* well-received* novels *in the past*, no doubt.",3
1,42,39,dead,Present Perfect,Incongruent,NA,NA,NA,end,7,2,deadPP,1736,Mark Twain was an American author. He died in Connecticut.,"He *has sold* well-received* novels *in the past*, no doubt.",3
1,5,42,living,Present Perfect,Congruent,NA,NA,NA,verb-1,1,6,livingPP,1440,Emma Thompson is a British actor. She lives in London.,"She *has appeared* in popular* classic films *in the past*, supposedly.",3
1,5,42,living,Present Perfect,Congruent,580,368,368,verb,2,6,livingPP,1440,Emma Thompson is a British actor. She lives in London.,"She *has appeared* in popular* classic films *in the past*, supposedly.",3
1,5,42,living,Present Perfect,Congruent,209,112,421,verb+1,3,6,livingPP,1440,Emma Thompson is a British actor. She lives in London.,"She *has appeared* in popular* classic films *in the past*, supposedly.",3
1,5,42,living,Present Perfect,Congruent,131,131,131,verb+2,4,6,livingPP,1440,Emma Thompson is a British actor. She lives in London.,"She *has appeared* in popular* classic films *in the past*, supposedly.",3
1,5,42,living,Present Perfect,Congruent,182,182,182,verb+3,5,6,livingPP,1440,Emma Thompson is a British actor. She lives in London.,"She *has appeared* in popular* classic films *in the past*, supposedly.",3
1,5,42,living,Present Perfect,Congruent,103,103,103,verb+4,6,6,livingPP,1440,Emma Thompson is a British actor. She lives in London.,"She *has appeared* in popular* classic films *in the past*, supposedly.",3
1,5,42,living,Present Perfect,Congruent,NA,NA,NA,end,7,6,livingPP,1440,Emma Thompson is a British actor. She lives in London.,"She *has appeared* in popular* classic films *in the past*, supposedly.",3
1,62,44,dead,Present Perfect,Incongruent,NA,NA,NA,verb-1,1,1,deadPP,3064,Jana Novotna was a Czech athlete. She died in Czechia.,"She *has won* well-deserved* Grand Slams *in the past*, apparently.",3
1,62,44,dead,Present Perfect,Incongruent,269,269,269,verb,2,1,deadPP,3064,Jana Novotna was a Czech athlete. She died in Czechia.,"She *has won* well-deserved* Grand Slams *in the past*, apparently.",3
1,62,44,dead,Present Perfect,Incongruent,410,169,169,verb+1,3,1,deadPP,3064,Jana Novotna was a Czech athlete. She died in Czechia.,"She *has won* well-deserved* Grand Slams *in the past*, apparently.",3
1,62,44,dead,Present Perfect,Incongruent,1308,1308,1308,verb+2,4,1,deadPP,3064,Jana Novotna was a Czech athlete. She died in Czechia.,"She *has won* well-deserved* Grand Slams *in the past*, apparently.",3
1,62,44,dead,Present Perfect,Incongruent,423,286,286,verb+3,5,1,deadPP,3064,Jana Novotna was a Czech athlete. She died in Czechia.,"She *has won* well-deserved* Grand Slams *in the past*, apparently.",3
1,62,44,dead,Present Perfect,Incongruent,177,177,1863,verb+4,6,1,deadPP,3064,Jana Novotna was a Czech athlete. She died in Czechia.,"She *has won* well-deserved* Grand Slams *in the past*, apparently.",3
1,62,44,dead,Present Perfect,Incongruent,NA,NA,NA,end,7,1,deadPP,3064,Jana Novotna was a Czech athlete. She died in Czechia.,"She *has won* well-deserved* Grand Slams *in the past*, apparently.",3
1,59,47,living,Simple Future,Congruent,NA,NA,NA,verb-1,1,5,livingSF,3805,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",3
1,59,47,living,Simple Future,Congruent,369,172,172,verb,2,5,livingSF,3805,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",3
1,59,47,living,Simple Future,Congruent,399,201,596,verb+1,3,5,livingSF,3805,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",3
1,59,47,living,Simple Future,Congruent,1434,583,583,verb+2,4,5,livingSF,3805,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",3
1,59,47,living,Simple Future,Congruent,851,720,1702,verb+3,5,5,livingSF,3805,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",3
1,59,47,living,Simple Future,Congruent,NA,NA,NA,verb+4,6,5,livingSF,3805,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",3
1,59,47,living,Simple Future,Congruent,NA,NA,NA,end,7,5,livingSF,3805,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",3
1,45,49,living,Present Perfect,Congruent,NA,NA,NA,verb-1,1,7,livingPP,1050,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He *has sold* popular* records *in the past*, no doubt.",3
1,45,49,living,Present Perfect,Congruent,525,178,178,verb,2,7,livingPP,1050,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He *has sold* popular* records *in the past*, no doubt.",3
1,45,49,living,Present Perfect,Congruent,290,290,290,verb+1,3,7,livingPP,1050,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He *has sold* popular* records *in the past*, no doubt.",3
1,45,49,living,Present Perfect,Congruent,137,137,137,verb+2,4,7,livingPP,1050,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He *has sold* popular* records *in the past*, no doubt.",3
1,45,49,living,Present Perfect,Congruent,159,159,159,verb+3,5,7,livingPP,1050,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He *has sold* popular* records *in the past*, no doubt.",3
1,45,49,living,Present Perfect,Congruent,175,175,522,verb+4,6,7,livingPP,1050,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He *has sold* popular* records *in the past*, no doubt.",3
1,45,49,living,Present Perfect,Congruent,NA,NA,NA,end,7,7,livingPP,1050,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He *has sold* popular* records *in the past*, no doubt.",3
1,47,52,living,Simple Future,Congruent,NA,NA,NA,verb-1,1,7,livingSF,2172,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",3
1,47,52,living,Simple Future,Congruent,388,388,388,verb,2,7,livingSF,2172,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",3
1,47,52,living,Simple Future,Congruent,NA,NA,NA,verb+1,3,7,livingSF,2172,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",3
1,47,52,living,Simple Future,Congruent,616,278,278,verb+2,4,7,livingSF,2172,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",3
1,47,52,living,Simple Future,Congruent,460,460,460,verb+3,5,7,livingSF,2172,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",3
1,47,52,living,Simple Future,Congruent,226,94,564,verb+4,6,7,livingSF,2172,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",3
1,47,52,living,Simple Future,Congruent,NA,NA,NA,end,7,7,livingSF,2172,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",3
1,78,55,dead,Present Perfect,Incongruent,NA,NA,NA,verb-1,1,7,deadPP,1800,Greta Garbo was a Swedish-American actor. She died in New York.,"She *has worked* with important* famous actors *in the past*, apparently.",3
1,78,55,dead,Present Perfect,Incongruent,637,329,329,verb,2,7,deadPP,1800,Greta Garbo was a Swedish-American actor. She died in New York.,"She *has worked* with important* famous actors *in the past*, apparently.",3
1,78,55,dead,Present Perfect,Incongruent,272,144,580,verb+1,3,7,deadPP,1800,Greta Garbo was a Swedish-American actor. She died in New York.,"She *has worked* with important* famous actors *in the past*, apparently.",3
1,78,55,dead,Present Perfect,Incongruent,136,136,136,verb+2,4,7,deadPP,1800,Greta Garbo was a Swedish-American actor. She died in New York.,"She *has worked* with important* famous actors *in the past*, apparently.",3
