px_code,trial,item,lifetime,tense,congruence,region,region_text,gaze,rpd,tt,first_fix,reg_in,reg_out,rt_ms,rating,bio,critical
P312,29,72,dead,SF,-CON,verb+2,scientific papers,426,426,426,178,0,0,2076,1,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She will write important scientific papers in the future, apparently."
P312,29,72,dead,SF,-CON,verb+3,in the future,496,496,496,176,0,0,2076,1,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She will write important scientific papers in the future, apparently."
P312,29,72,dead,SF,-CON,verb+4,apparently.,NA,NA,NA,0,0,0,2076,1,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She will write important scientific papers in the future, apparently."
P312,31,21,living,PP,+CON,verb-1,He,NA,NA,NA,0,0,0,1306,6,John Cleese is a British actor. He lives in London.,"He has played notable roles in the past, so it's said."
P312,31,21,living,PP,+CON,verb,has played,364,364,364,239,0,0,1306,6,John Cleese is a British actor. He lives in London.,"He has played notable roles in the past, so it's said."
P312,31,21,living,PP,+CON,verb+1,notable,154,154,154,154,0,0,1306,6,John Cleese is a British actor. He lives in London.,"He has played notable roles in the past, so it's said."
P312,31,21,living,PP,+CON,verb+2,roles,157,157,157,157,0,0,1306,6,John Cleese is a British actor. He lives in London.,"He has played notable roles in the past, so it's said."
P312,31,21,living,PP,+CON,verb+3,in the past,NA,NA,NA,0,0,0,1306,6,John Cleese is a British actor. He lives in London.,"He has played notable roles in the past, so it's said."
P312,31,21,living,PP,+CON,verb+4,so it's said.,683,683,683,172,0,0,1306,6,John Cleese is a British actor. He lives in London.,"He has played notable roles in the past, so it's said."
P312,34,41,living,PP,+CON,verb-1,He,NA,NA,NA,0,0,0,2786,4,"Bill Gates is an American thinker. He lives in Washington, D.C.","He has sold critically acclaimed computers in the past, no doubt."
P312,34,41,living,PP,+CON,verb,has sold,328,328,495,160,1,0,2786,4,"Bill Gates is an American thinker. He lives in Washington, D.C.","He has sold critically acclaimed computers in the past, no doubt."
P312,34,41,living,PP,+CON,verb+1,critically acclaimed,198,991,824,198,0,1,2786,4,"Bill Gates is an American thinker. He lives in Washington, D.C.","He has sold critically acclaimed computers in the past, no doubt."
P312,34,41,living,PP,+CON,verb+2,computers,312,312,312,190,0,0,2786,4,"Bill Gates is an American thinker. He lives in Washington, D.C.","He has sold critically acclaimed computers in the past, no doubt."
P312,34,41,living,PP,+CON,verb+3,in the past,167,167,167,167,0,0,2786,4,"Bill Gates is an American thinker. He lives in Washington, D.C.","He has sold critically acclaimed computers in the past, no doubt."
P312,34,41,living,PP,+CON,verb+4,no doubt.,425,425,425,194,0,0,2786,4,"Bill Gates is an American thinker. He lives in Washington, D.C.","He has sold critically acclaimed computers in the past, no doubt."
P312,36,56,dead,SF,-CON,verb-1,She,NA,NA,NA,0,0,0,936,1,Judy Garland was an American actor. She died in London.,"She will star in well-received films in the future, no doubt."
P312,36,56,dead,SF,-CON,verb,will star,347,347,347,108,0,0,936,1,Judy Garland was an American actor. She died in London.,"She will star in well-received films in the future, no doubt."
P312,36,56,dead,SF,-CON,verb+1,in well-received,225,225,225,225,0,0,936,1,Judy Garland was an American actor. She died in London.,"She will star in well-received films in the future, no doubt."
P312,36,56,dead,SF,-CON,verb+2,films,117,117,117,117,0,0,936,1,Judy Garland was an American actor. She died in London.,"She will star in well-received films in the future, no doubt."
P312,36,56,dead,SF,-CON,verb+3,in the future,113,113,113,113,0,0,936,1,Judy Garland was an American actor. She died in London.,"She will star in well-received films in the future, no doubt."
P312,36,56,dead,SF,-CON,verb+4,no doubt.,171,171,171,171,0,0,936,1,Judy Garland was an American actor. She died in London.,"She will star in well-received films in the future, no doubt."
P312,39,42,dead,PP,-CON,verb-1,He,161,161,161,161,0,0,1736,2,Mark Twain was an American author. He died in Connecticut.,"He has sold well-received novels in the past, no doubt."
P312,39,42,dead,PP,-CON,verb,has sold,343,343,343,247,0,0,1736,2,Mark Twain was an American author. He died in Connecticut.,"He has sold well-received novels in the past, no doubt."
P312,39,42,dead,PP,-CON,verb+1,well-received,194,194,194,194,0,0,1736,2,Mark Twain was an American author. He died in Connecticut.,"He has sold well-received novels in the past, no doubt."
P312,39,42,dead,PP,-CON,verb+2,novels,146,146,146,146,0,0,1736,2,Mark Twain was an American author. He died in Connecticut.,"He has sold well-received novels in the past, no doubt."
P312,39,42,dead,PP,-CON,verb+3,in the past,322,322,322,322,0,0,1736,2,Mark Twain was an American author. He died in Connecticut.,"He has sold well-received novels in the past, no doubt."
P312,39,42,dead,PP,-CON,verb+4,no doubt.,274,274,274,274,0,0,1736,2,Mark Twain was an American author. He died in Connecticut.,"He has sold well-received novels in the past, no doubt."
P312,42,5,living,PP,+CON,verb-1,She,NA,NA,NA,0,0,0,1440,6,Emma Thompson is a British actor. She lives in London.,"She has appeared in popular classic films in the past, supposedly."
P312,42,5,living,PP,+CON,verb,has appeared,368,368,580,84,1,0,1440,6,Emma Thompson is a British actor. She lives in London.,"She has appeared in popular classic films in the past, supposedly."
P312,42,5,living,PP,+CON,verb+1,in popular,112,421,209,112,0,1,1440,6,Emma Thompson is a British actor. She lives in London.,"She has appeared in popular classic films in the past, supposedly."
P312,42,5,living,PP,+CON,verb+2,classic films,131,131,131,131,0,0,1440,6,Emma Thompson is a British actor. She lives in London.,"She has appeared in popular classic films in the past, supposedly."
P312,42,5,living,PP,+CON,verb+3,in the past,182,182,182,182,0,0,1440,6,Emma Thompson is a British actor. She lives in London.,"She has appeared in popular classic films in the past, supposedly."
P312,42,5,living,PP,+CON,verb+4,supposedly.,103,103,103,103,0,0,1440,6,Emma Thompson is a British actor. She lives in London.,"She has appeared in popular classic films in the past, supposedly."
P312,44,62,dead,PP,-CON,verb-1,She,NA,NA,NA,0,0,0,3064,1,Jana Novotna was a Czech athlete. She died in Czechia.,"She has won well-deserved Grand Slams in the past, apparently."
P312,44,62,dead,PP,-CON,verb,has won,269,269,269,111,0,0,3064,1,Jana Novotna was a Czech athlete. She died in Czechia.,"She has won well-deserved Grand Slams in the past, apparently."
P312,44,62,dead,PP,-CON,verb+1,well-deserved,169,169,410,169,1,0,3064,1,Jana Novotna was a Czech athlete. She died in Czechia.,"She has won well-deserved Grand Slams in the past, apparently."
P312,44,62,dead,PP,-CON,verb+2,Grand Slams,1308,1308,1308,193,0,0,3064,1,Jana Novotna was a Czech athlete. She died in Czechia.,"She has won well-deserved Grand Slams in the past, apparently."
P312,44,62,dead,PP,-CON,verb+3,in the past,286,286,423,137,1,0,3064,1,Jana Novotna was a Czech athlete. She died in Czechia.,"She has won well-deserved Grand Slams in the past, apparently."
P312,44,62,dead,PP,-CON,verb+4,apparently.,177,1863,177,177,0,1,3064,1,Jana Novotna was a Czech athlete. She died in Czechia.,"She has won well-deserved Grand Slams in the past, apparently."
P312,47,59,living,SF,+CON,verb-1,He,NA,NA,NA,0,0,0,3805,5,Malcolm Gladwell is a Canadian author. He lives in New York.,"He will win prestigious literary awards in the future, no doubt."
P312,47,59,living,SF,+CON,verb,will win,172,172,369,172,1,0,3805,5,Malcolm Gladwell is a Canadian author. He lives in New York.,"He will win prestigious literary awards in the future, no doubt."
P312,47,59,living,SF,+CON,verb+1,prestigious,201,596,399,201,0,1,3805,5,Malcolm Gladwell is a Canadian author. He lives in New York.,"He will win prestigious literary awards in the future, no doubt."
P312,47,59,living,SF,+CON,verb+2,literary awards,583,583,1434,154,1,0,3805,5,Malcolm Gladwell is a Canadian author. He lives in New York.,"He will win prestigious literary awards in the future, no doubt."
P312,47,59,living,SF,+CON,verb+3,in the future,720,1702,851,274,0,1,3805,5,Malcolm Gladwell is a Canadian author. He lives in New York.,"He will win prestigious literary awards in the future, no doubt."
P312,47,59,living,SF,+CON,verb+4,no doubt.,NA,NA,NA,0,0,0,3805,5,Malcolm Gladwell is a Canadian author. He lives in New York.,"He will win prestigious literary awards in the future, no doubt."
P312,49,45,living,PP,+CON,verb-1,He,NA,NA,NA,0,0,0,1050,7,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He has sold popular records in the past, no doubt."
P312,49,45,living,PP,+CON,verb,has sold,178,178,525,178,1,0,1050,7,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He has sold popular records in the past, no doubt."
P312,49,45,living,PP,+CON,verb+1,popular,290,290,290,163,0,0,1050,7,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He has sold popular records in the past, no doubt."
P312,49,45,living,PP,+CON,verb+2,records,137,137,137,137,0,0,1050,7,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He has sold popular records in the past, no doubt."
P312,49,45,living,PP,+CON,verb+3,in the past,159,159,159,159,0,0,1050,7,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He has sold popular records in the past, no doubt."
P312,49,45,living,PP,+CON,verb+4,no doubt.,175,522,175,175,0,1,1050,7,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He has sold popular records in the past, no doubt."
P312,52,47,living,SF,+CON,verb-1,She,NA,NA,NA,0,0,0,2172,7,Diana Ross is an American singer. She lives in Conneticut.,"She will sell popular solo albums in the future, no doubt."
P312,52,47,living,SF,+CON,verb,will sell,388,388,388,121,0,0,2172,7,Diana Ross is an American singer. She lives in Conneticut.,"She will sell popular solo albums in the future, no doubt."
P312,52,47,living,SF,+CON,verb+1,popular,NA,NA,NA,0,0,0,2172,7,Diana Ross is an American singer. She lives in Conneticut.,"She will sell popular solo albums in the future, no doubt."
P312,52,47,living,SF,+CON,verb+2,solo albums,278,278,616,142,1,0,2172,7,Diana Ross is an American singer. She lives in Conneticut.,"She will sell popular solo albums in the future, no doubt."
P312,52,47,living,SF,+CON,verb+3,in the future,460,460,460,191,0,0,2172,7,Diana Ross is an American singer. She lives in Conneticut.,"She will sell popular solo albums in the future, no doubt."
P312,52,47,living,SF,+CON,verb+4,no doubt.,94,564,226,94,0,1,2172,7,Diana Ross is an American singer. She lives in Conneticut.,"She will sell popular solo albums in the future, no doubt."
P312,55,78,dead,PP,-CON,verb-1,She,NA,NA,NA,0,0,0,1800,7,Greta Garbo was a Swedish-American actor. She died in New York.,"She has worked with important famous actors in the past, apparently."
P312,55,78,dead,PP,-CON,verb,has worked,329,329,637,161,1,0,1800,7,Greta Garbo was a Swedish-American actor. She died in New York.,"She has worked with important famous actors in the past, apparently."
P312,55,78,dead,PP,-CON,verb+1,with important,144,580,272,144,0,1,1800,7,Greta Garbo was a Swedish-American actor. She died in New York.,"She has worked with important famous actors in the past, apparently."
P312,55,78,dead,PP,-CON,verb+2,famous actors,136,136,136,136,0,0,1800,7,Greta Garbo was a Swedish-American actor. She died in New York.,"She has worked with important famous actors in the past, apparently."
P312,55,78,dead,PP,-CON,verb+3,in the past,359,359,359,128,0,0,1800,7,Greta Garbo was a Swedish-American actor. She died in New York.,"She has worked with important famous actors in the past, apparently."
P312,55,78,dead,PP,-CON,verb+4,apparently.,NA,NA,NA,0,0,0,1800,7,Greta Garbo was a Swedish-American actor. She died in New York.,"She has worked with important famous actors in the past, apparently."
P312,57,48,dead,SF,-CON,verb-1,She,NA,NA,NA,0,0,0,1110,1,Coco Chanel was a French personality. She died in Paris.,"She will sell popular perfumes in the future, no doubt."
P312,57,48,dead,SF,-CON,verb,will sell,377,377,377,191,0,0,1110,1,Coco Chanel was a French personality. She died in Paris.,"She will sell popular perfumes in the future, no doubt."
P312,57,48,dead,SF,-CON,verb+1,popular,179,179,179,179,0,0,1110,1,Coco Chanel was a French personality. She died in Paris.,"She will sell popular perfumes in the future, no doubt."
P312,57,48,dead,SF,-CON,verb+2,perfumes,240,240,240,240,0,0,1110,1,Coco Chanel was a French personality. She died in Paris.,"She will sell popular perfumes in the future, no doubt."
P312,57,48,dead,SF,-CON,verb+3,in the future,146,146,146,146,0,0,1110,1,Coco Chanel was a French personality. She died in Paris.,"She will sell popular perfumes in the future, no doubt."
P312,57,48,dead,SF,-CON,verb+4,no doubt.,117,117,117,117,0,0,1110,1,Coco Chanel was a French personality. She died in Paris.,"She will sell popular perfumes in the future, no doubt."
P312,60,22,dead,PP,-CON,verb-1,He,NA,NA,NA,0,0,0,1187,7,David Bowie was a British singer. He died in New York.,"He has played numerous concerts in the past, so it's said."
P312,60,22,dead,PP,-CON,verb,has played,252,252,537,252,1,0,1187,7,David Bowie was a British singer. He died in New York.,"He has played numerous concerts in the past, so it's said."
P312,60,22,dead,PP,-CON,verb+1,numerous,183,183,183,183,0,0,1187,7,David Bowie was a British singer. He died in New York.,"He has played numerous concerts in the past, so it's said."
P312,60,22,dead,PP,-CON,verb+2,concerts,153,153,153,153,0,0,1187,7,David Bowie was a British singer. He died in New York.,"He has played numerous concerts in the past, so it's said."
P312,60,22,dead,PP,-CON,verb+3,in the past,137,137,137,137,0,0,1187,7,David Bowie was a British singer. He died in New York.,"He has played numerous concerts in the past, so it's said."
P312,60,22,dead,PP,-CON,verb+4,so it's said.,192,477,192,192,0,1,1187,7,David Bowie was a British singer. He died in New York.,"He has played numerous concerts in the past, so it's said."
P312,62,18,dead,PP,-CON,verb-1,She,NA,NA,NA,0,0,0,1697,7,Audrey Hepburn was a British actor. She died in Switzerland.,"She has played in prominent theatres in the past, supposedly."
P312,62,18,dead,PP,-CON,verb,has played,353,353,353,178,0,0,1697,7,Audrey Hepburn was a British actor. She died in Switzerland.,"She has played in prominent theatres in the past, supposedly."
P312,62,18,dead,PP,-CON,verb+1,in prominent,272,272,429,272,1,0,1697,7,Audrey Hepburn was a British actor. She died in Switzerland.,"She has played in prominent theatres in the past, supposedly."
P312,62,18,dead,PP,-CON,verb+2,theatres,313,313,313,170,0,0,1697,7,Audrey Hepburn was a British actor. She died in Switzerland.,"She has played in prominent theatres in the past, supposedly."
P312,62,18,dead,PP,-CON,verb+3,in the past,180,536,379,180,0,1,1697,7,Audrey Hepburn was a British actor. She died in Switzerland.,"She has played in prominent theatres in the past, supposedly."
P312,62,18,dead,PP,-CON,verb+4,supposedly.,NA,NA,NA,0,0,0,1697,7,Audrey Hepburn was a British actor. She died in Switzerland.,"She has played in prominent theatres in the past, supposedly."
P312,65,51,living,SF,+CON,verb-1,He,NA,NA,NA,0,0,0,1835,7,Lin-Manuel Miranda is an American actor. He lives in New York.,"He will star in critically acclaimed musicals in the future, no doubt."
P312,65,51,living,SF,+CON,verb,will star,370,370,370,200,0,0,1835,7,Lin-Manuel Miranda is an American actor. He lives in New York.,"He will star in critically acclaimed musicals in the future, no doubt."
P312,65,51,living,SF,+CON,verb+1,in critically acclaimed,342,342,342,163,0,0,1835,7,Lin-Manuel Miranda is an American actor. He lives in New York.,"He will star in critically acclaimed musicals in the future, no doubt."
P312,65,51,living,SF,+CON,verb+2,musicals,100,100,100,100,0,0,1835,7,Lin-Manuel Miranda is an American actor. He lives in New York.,"He will star in critically acclaimed musicals in the future, no doubt."
P312,65,51,living,SF,+CON,verb+3,in the future,668,668,668,271,0,0,1835,7,Lin-Manuel Miranda is an American actor. He lives in New York.,"He will star in critically acclaimed musicals in the future, no doubt."
P312,65,51,living,SF,+CON,verb+4,no doubt.,NA,NA,NA,0,0,0,1835,7,Lin-Manuel Miranda is an American actor. He lives in New York.,"He will star in critically acclaimed musicals in the future, no doubt."
P312,68,26,dead,PP,-CON,verb-1,She,NA,NA,NA,0,0,0,2404,7,Carrie Fischer was an American actor. She died in Los Angeles.,"She has received well-deserved Oscar nominations in the past, so it's said."
P312,68,26,dead,PP,-CON,verb,has received,503,503,586,150,1,0,2404,7,Carrie Fischer was an American actor. She died in Los Angeles.,"She has received well-deserved Oscar nominations in the past, so it's said."
P312,68,26,dead,PP,-CON,verb+1,well-deserved,217,217,760,217,1,0,2404,7,Carrie Fischer was an American actor. She died in Los Angeles.,"She has received well-deserved Oscar nominations in the past, so it's said."
P312,68,26,dead,PP,-CON,verb+2,Oscar nominations,255,255,364,86,0,0,2404,7,Carrie Fischer was an American actor. She died in Los Angeles.,"She has received well-deserved Oscar nominations in the past, so it's said."
P312,68,26,dead,PP,-CON,verb+3,in the past,195,195,195,195,0,0,2404,7,Carrie Fischer was an American actor. She died in Los Angeles.,"She has received well-deserved Oscar nominations in the past, so it's said."
P312,68,26,dead,PP,-CON,verb+4,so it's said.,109,844,109,109,0,1,2404,7,Carrie Fischer was an American actor. She died in Los Angeles.,"She has received well-deserved Oscar nominations in the past, so it's said."
